player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,cluster
Andrey_Rublev,1.3114311431143115,0.1059782608695652,0.6410256410256411,0.0689655172413793,0.1661442006269592,0.1873713109128346,0.0068634179821551,0.2210020590253946,0.4365133836650652,0.335621139327385,2.035483870967742,1.042857142857143,1.370967741935484,0.5128205128205127,2
Andy_Murray,1.3299492385786802,0.128552097428958,0.5578947368421052,0.1002425222312045,0.1899757477768795,0.2467036780013879,0.0163081193615544,0.2033310201249132,0.4739764052741152,0.3129770992366412,1.9250398724082936,0.9136690647482012,1.1333333333333333,0.7031249999999999,0
Arthur_Fery,1.302325581395349,0.2142857142857142,0.7222222222222222,0.0520231213872832,0.1098265895953757,0.1636904761904762,0.0148809523809523,0.2589285714285714,0.431547619047619,0.2946428571428571,2.1067961165048543,0.5454545454545454,1.0,0.4761904761904761,1
Arthur_Fils,1.395217117684078,0.0877513711151736,0.5208333333333334,0.1012658227848101,0.2232451093210586,0.1876409562471808,0.0049616599007668,0.2282363554352729,0.4055029318899413,0.3567884528642309,2.0186915887850465,0.7593984962406013,1.135135135135135,0.903448275862069,0
Arthur_Rinderknech,1.082857142857143,0.3069306930693069,0.4516129032258064,0.1408450704225352,0.0610328638497652,0.1134564643799472,0.0105540897097625,0.2163588390501319,0.41688654353562,0.3509234828496042,1.7184466019417477,1.0714285714285714,2.8,1.0,3
Ben_Shelton,1.425,0.1071428571428571,0.4444444444444444,0.0,0.186335403726708,0.1549707602339181,0.0,0.2251461988304093,0.4561403508771929,0.2865497076023391,2.1320754716981134,1.1333333333333333,1.9,1.0,2
Botic_Van_De_Zandschulp,1.1325757575757576,0.1270903010033444,0.6842105263157895,0.0365659777424483,0.1812400635930047,0.1864548494983277,0.0091973244147157,0.2541806020066889,0.4414715719063545,0.2817725752508361,2.106172839506173,1.7948717948717947,1.268292682926829,0.8082191780821918,2
Brandon_Nakashima,1.3503909026297083,0.1153846153846153,0.5,0.0978934324659231,0.1486988847583643,0.19,0.0121052631578947,0.2557894736842105,0.43,0.3073684210526315,2.078014184397163,0.9896907216494846,1.337209302325581,0.8347826086956521,3
Cameron_Norrie,1.363861386138614,0.0524475524475524,0.7333333333333333,0.0443159922928709,0.1965317919075144,0.2186932849364791,0.0045372050816696,0.3030852994555354,0.4128856624319419,0.2631578947368421,1.9684813753581665,1.2745098039215683,1.4166666666666663,0.7419354838709677,2
Carlos_Alcaraz,1.4522144522144522,0.1196736174070716,0.5075757575757576,0.0881474103585657,0.1648406374501992,0.1467553313460215,0.01742719559734,0.2380188030268287,0.3730795689062142,0.3756019261637239,1.9859437751004017,0.9863636363636364,1.386904761904762,0.7483443708609271,3
Casper_Ruud,1.376,0.1538461538461538,0.3,0.0888888888888888,0.2044444444444444,0.2015503875968992,0.0135658914728682,0.1937984496124031,0.3953488372093023,0.4069767441860465,2.0794701986754967,1.6,1.5625,1.947368421052632,3
Christopher_Eubanks,1.0427553444180522,0.0817307692307692,0.7058823529411765,0.0348837209302325,0.1724806201550387,0.3223234624145786,0.0034168564920273,0.2277904328018223,0.3861047835990888,0.3519362186788154,2.154320987654321,1.2692307692307692,1.4,1.1923076923076923,2
Constant_Lestienne,1.7945945945945947,0.0625,0.8,0.1290322580645161,0.1532258064516129,0.1204819277108433,0.0210843373493975,0.2439759036144578,0.2710843373493976,0.4849397590361445,2.06140350877193,1.0588235294117647,1.0625000000000002,0.7777777777777777,0
