player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,cluster
Hubert_Hurkacz,1.818225573560084,0.5059856344772546,0.6782334384858044,0.2652370203160271,0.2136945071482317,0.1035294117647058,0.0354901960784313,0.346078431372549,0.224313725490196,0.4147058823529412,0.1030001604363869,0.2386272944932163,0.3679169992019154,0.3471667996807661,1.8655913978494627,1.7429577464788737,3
Jack_Draper,1.705223880597015,0.3673469387755102,0.7777777777777778,0.7368421052631579,0.1684210526315789,0.0264550264550264,0.0264550264550264,0.4497354497354497,0.2063492063492063,0.3386243386243386,0.1417910447761194,0.2653061224489796,0.3469387755102041,0.3673469387755102,1.8750000000000004,0.3461538461538461,2
Jacob_Fearnley,1.9795918367346936,0.4473684210526316,0.8823529411764706,0.1142857142857142,0.1714285714285714,0.1319444444444444,0.0,0.4097222222222222,0.1875,0.4027777777777778,0.0544217687074829,0.3421052631578947,0.3947368421052631,0.2105263157894736,6.750000000000003,4.750000000000002,1
Jan_Choinski,2.04014598540146,0.3943661971830985,0.75,0.1755725190839694,0.2213740458015267,0.1122807017543859,0.0140350877192982,0.4561403508771929,0.1684210526315789,0.3614035087719298,0.0875912408759124,0.1267605633802817,0.4788732394366197,0.3380281690140845,1.4444444444444449,1.823529411764706,2
Jan_Lennard_Struff,1.5751231527093597,0.9906542056074766,0.6415094339622641,0.4826388888888889,0.1736111111111111,0.0877944325481798,0.0107066381156316,0.3083511777301927,0.2548179871520342,0.4197002141327623,0.1403940886699507,0.1775700934579439,0.4485981308411215,0.3551401869158878,1.2195121951219514,2.100000000000001,0
Jannik_Sinner,2.032614555256065,0.2797055730809674,0.6654135338345865,0.267349260523322,0.220136518771331,0.0809188201513965,0.0297572435395458,0.3249804228660924,0.2636387366222918,0.4040720438527799,0.0727762803234501,0.3427970557308096,0.2902208201892745,0.3280757097791798,1.6137724550898205,1.5664335664335662,1
Jenson_Brooksby,2.1802325581395348,0.1584158415841584,0.6875,0.2235294117647059,0.2764705882352941,0.1009852216748768,0.0369458128078817,0.2758620689655172,0.3423645320197044,0.3522167487684729,0.0436046511627907,0.4356435643564356,0.297029702970297,0.2475247524752475,0.9574468085106382,1.4687500000000002,1
Jeremy_Chardy,1.8771929824561404,0.2678571428571428,0.7333333333333333,0.297029702970297,0.2178217821782178,0.15,0.015,0.33,0.18,0.47,0.0701754385964912,0.3035714285714285,0.2857142857142857,0.3571428571428571,7.600000000000008,3.0,3
Jiri_Lehecka,1.7458033573141487,0.4375,0.7714285714285715,0.2179487179487179,0.2435897435897435,0.067524115755627,0.022508038585209,0.2958199356913183,0.2122186495176848,0.4823151125401929,0.0935251798561151,0.5,0.2375,0.2375,1.9615384615384608,1.4,1
Jiri_Vesely,1.8479880774962745,0.5037037037037037,0.6470588235294118,0.2338983050847457,0.1966101694915254,0.086115992970123,0.0263620386643233,0.351493848857645,0.2021089630931458,0.4428822495606327,0.081967213114754,0.3407407407407407,0.3777777777777777,0.2222222222222222,1.5319148936170215,1.0952380952380951,1
